_id,id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
432870,432869,2021-2022,West Bengal,19,Alipurduar,664,Arhar/Tur,202.0,Pulses,Rabi,408.0,Hectare,642.0,Tonnes,1.574,Tonnes/Hectare
432871,432870,2021-2022,West Bengal,19,Alipurduar,664,Gram,201.0,Pulses,Rabi,181.0,Hectare,215.0,Tonnes,1.188,Tonnes/Hectare
432872,432871,2021-2022,West Bengal,19,Alipurduar,664,Groundnut,1001.0,Oilseeds,Autumn,120.0,Hectare,185.0,Tonnes,1.542,Tonnes/Hectare
432873,432872,2021-2022,West Bengal,19,Alipurduar,664,Groundnut,1001.0,Oilseeds,Rabi,130.0,Hectare,205.0,Tonnes,1.577,Tonnes/Hectare
432874,432873,2021-2022,West Bengal,19,Alipurduar,664,Groundnut,1001.0,Oilseeds,Summer,225.0,Hectare,487.0,Tonnes,2.164,Tonnes/Hectare
432875,432874,2021-2022,West Bengal,19,Alipurduar,664,Groundnut,1001.0,Oilseeds,Total,475.0,Hectare,877.0,Tonnes,1.846,Tonnes/Hectare
432876,432875,2021-2022,West Bengal,19,Alipurduar,664,Horse-Gram,206.0,Pulses,Rabi,15.0,Hectare,6.0,Tonnes,0.4,Tonnes/Hectare
432877,432876,2021-2022,West Bengal,19,Alipurduar,664,Jute,1102.0,Fiber Crops,Kharif,13837.0,Hectare,163126.0,Tonnes,11.789,Tonnes/Hectare
432878,432877,2021-2022,West Bengal,19,Alipurduar,664,Khesari,521.0,Spices,Rabi,2351.0,Hectare,2575.0,Tonnes,1.095,Tonnes/Hectare
432879,432878,2021-2022,West Bengal,19,Alipurduar,664,Linseed,1005.0,Oilseeds,Rabi,435.0,Hectare,156.0,Tonnes,0.359,Tonnes/Hectare
432880,432879,2021-2022,West Bengal,19,Alipurduar,664,Maize,104.0,Cereals,Autumn,4320.0,Hectare,9759.0,Tonnes,2.259,Tonnes/Hectare
432881,432880,2021-2022,West Bengal,19,Alipurduar,664,Maize,104.0,Cereals,Rabi,11800.0,Hectare,55696.0,Tonnes,4.72,Tonnes/Hectare
432882,432881,2021-2022,West Bengal,19,Alipurduar,664,Maize,104.0,Cereals,Summer,8800.0,Hectare,54384.0,Tonnes,6.18,Tonnes/Hectare
432883,432882,2021-2022,West Bengal,19,Alipurduar,664,Maize,104.0,Cereals,Total,24920.0,Hectare,119839.0,Tonnes,4.809,Tonnes/Hectare
432884,432883,2021-2022,West Bengal,19,Alipurduar,664,Masoor,205.0,Pulses,Rabi,3341.0,Hectare,2338.0,Tonnes,0.7,Tonnes/Hectare
432885,432884,2021-2022,West Bengal,19,Alipurduar,664,Mesta,1103.0,Fiber Crops,Kharif,146.0,Hectare,1485.0,Tonnes,10.171,Tonnes/Hectare
432886,432885,2021-2022,West Bengal,19,Alipurduar,664,Moong(Green Gram),204.0,Pulses,Kharif,215.0,Hectare,185.0,Tonnes,0.86,Tonnes/Hectare
432887,432886,2021-2022,West Bengal,19,Alipurduar,664,Moong(Green Gram),204.0,Pulses,Rabi,200.0,Hectare,129.0,Tonnes,0.645,Tonnes/Hectare
432888,432887,2021-2022,West Bengal,19,Alipurduar,664,Moong(Green Gram),204.0,Pulses,Summer,197.0,Hectare,206.0,Tonnes,1.046,Tonnes/Hectare
432889,432888,2021-2022,West Bengal,19,Alipurduar,664,Moong(Green Gram),204.0,Pulses,Total,612.0,Hectare,520.0,Tonnes,0.85,Tonnes/Hectare
432890,432889,2021-2022,West Bengal,19,Alipurduar,664,Niger Seed,1010.0,Oilseeds,Kharif,370.0,Hectare,211.0,Tonnes,0.57,Tonnes/Hectare
432891,432890,2021-2022,West Bengal,19,Alipurduar,664,Peas & Beans (Pulses),213.0,Pulses,Rabi,294.0,Hectare,291.0,Tonnes,0.99,Tonnes/Hectare
432892,432891,2021-2022,West Bengal,19,Alipurduar,664,Potato,701.0,Vegetable,Rabi,19374.0,Hectare,642917.0,Tonnes,33.185,Tonnes/Hectare
432893,432892,2021-2022,West Bengal,19,Alipurduar,664,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,5030.0,Hectare,5258.0,Tonnes,1.045,Tonnes/Hectare
432894,432893,2021-2022,West Bengal,19,Alipurduar,664,Rice,101.0,Cereals,Autumn,11309.0,Hectare,21348.0,Tonnes,1.888,Tonnes/Hectare
432895,432894,2021-2022,West Bengal,19,Alipurduar,664,Rice,101.0,Cereals,Summer,5574.0,Hectare,13543.0,Tonnes,2.43,Tonnes/Hectare
432896,432895,2021-2022,West Bengal,19,Alipurduar,664,Rice,101.0,Cereals,Total,96618.0,Hectare,233569.0,Tonnes,2.417,Tonnes/Hectare
432897,432896,2021-2022,West Bengal,19,Alipurduar,664,Rice,101.0,Cereals,Winter,79735.0,Hectare,198678.0,Tonnes,2.492,Tonnes/Hectare
432898,432897,2021-2022,West Bengal,19,Alipurduar,664,Sesamum,1003.0,Oilseeds,Autumn,175.0,Hectare,131.0,Tonnes,0.749,Tonnes/Hectare
432899,432898,2021-2022,West Bengal,19,Alipurduar,664,Sesamum,1003.0,Oilseeds,Summer,181.0,Hectare,153.0,Tonnes,0.845,Tonnes/Hectare
432900,432899,2021-2022,West Bengal,19,Alipurduar,664,Sesamum,1003.0,Oilseeds,Total,556.0,Hectare,444.0,Tonnes,0.799,Tonnes/Hectare
432901,432900,2021-2022,West Bengal,19,Alipurduar,664,Sesamum,1003.0,Oilseeds,Winter,200.0,Hectare,160.0,Tonnes,0.8,Tonnes/Hectare
432902,432901,2021-2022,West Bengal,19,Alipurduar,664,Sugarcane,401.0,Sugar,Whole Year,36.0,Hectare,2927.0,Tonnes,81.306,Tonnes/Hectare
432903,432902,2021-2022,West Bengal,19,Alipurduar,664,Urad,203.0,Pulses,Kharif,1231.0,Hectare,493.0,Tonnes,0.4,Tonnes/Hectare
432904,432903,2021-2022,West Bengal,19,Alipurduar,664,Urad,203.0,Pulses,Rabi,180.0,Hectare,126.0,Tonnes,0.7,Tonnes/Hectare
