_id,id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
9901,9900,1997-1998,West Bengal,19,Bankura,305,Arecanut,507.0,Spices,Whole Year,5.0,Hectare,12.0,Tonnes,2.4,Tonnes/Hectare
9902,9901,1997-1998,West Bengal,19,Bankura,305,Arhar/Tur,202.0,Pulses,Whole Year,205.0,Hectare,110.0,Tonnes,0.537,Tonnes/Hectare
9903,9902,1997-1998,West Bengal,19,Bankura,305,Bajra,103.0,Cereals,Kharif,162.0,Hectare,73.0,Tonnes,0.451,Tonnes/Hectare
9904,9903,1997-1998,West Bengal,19,Bankura,305,Coconut,1006.0,Oilseeds,Whole Year,135.0,Hectare,769900.0,Tonnes,5702.963,Tonnes/Hectare
9905,9904,1997-1998,West Bengal,19,Bankura,305,Dry Chillies,502.0,Spices,Whole Year,1325.0,Hectare,1089.0,Tonnes,0.822,Tonnes/Hectare
9906,9905,1997-1998,West Bengal,19,Bankura,305,Gram,201.0,Pulses,Rabi,83.0,Hectare,10.0,Tonnes,0.12,Tonnes/Hectare
9907,9906,1997-1998,West Bengal,19,Bankura,305,Groundnut,1001.0,Oilseeds,Whole Year,574.0,Hectare,558.0,Tonnes,0.972,Tonnes/Hectare
9908,9907,1997-1998,West Bengal,19,Bankura,305,Horse-Gram,206.0,Pulses,Kharif,190.0,Hectare,45.0,Tonnes,0.237,Tonnes/Hectare
9909,9908,1997-1998,West Bengal,19,Bankura,305,Jowar,102.0,Cereals,Whole Year,155.0,Hectare,74.0,Tonnes,0.477,Tonnes/Hectare
9910,9909,1997-1998,West Bengal,19,Bankura,305,Jute,1102.0,Fiber Crops,Kharif,583.0,Hectare,11560.0,Tonnes,19.828,Tonnes/Hectare
9911,9910,1997-1998,West Bengal,19,Bankura,305,Khesari,521.0,Spices,Rabi,59.0,Hectare,80.0,Tonnes,1.356,Tonnes/Hectare
9912,9911,1997-1998,West Bengal,19,Bankura,305,Linseed,1005.0,Oilseeds,Whole Year,527.0,Hectare,50.0,Tonnes,0.095,Tonnes/Hectare
9913,9912,1997-1998,West Bengal,19,Bankura,305,Maize,104.0,Cereals,Whole Year,500.0,Hectare,380.0,Tonnes,0.76,Tonnes/Hectare
9914,9913,1997-1998,West Bengal,19,Bankura,305,Masoor,205.0,Pulses,Rabi,484.0,Hectare,200.0,Tonnes,0.413,Tonnes/Hectare
9915,9914,1997-1998,West Bengal,19,Bankura,305,Moong(Green Gram),204.0,Pulses,Kharif,100.0,Hectare,51.0,Tonnes,0.51,Tonnes/Hectare
9916,9915,1997-1998,West Bengal,19,Bankura,305,Moong(Green Gram),204.0,Pulses,Rabi,100.0,Hectare,61.0,Tonnes,0.61,Tonnes/Hectare
9917,9916,1997-1998,West Bengal,19,Bankura,305,Moong(Green Gram),204.0,Pulses,Summer,125.0,Hectare,4.0,Tonnes,0.032,Tonnes/Hectare
9918,9917,1997-1998,West Bengal,19,Bankura,305,Moong(Green Gram),204.0,Pulses,Total,325.0,Hectare,116.0,Tonnes,0.357,Tonnes/Hectare
9919,9918,1997-1998,West Bengal,19,Bankura,305,Niger Seed,1010.0,Oilseeds,Rabi,3179900.0,Hectare,2118200.0,Tonnes,0.666,Tonnes/Hectare
9920,9919,1997-1998,West Bengal,19,Bankura,305,Niger Seed,1010.0,Oilseeds,Whole Year,65.0,Hectare,20.0,Tonnes,0.308,Tonnes/Hectare
9921,9920,1997-1998,West Bengal,19,Bankura,305,Other Kharif Pulses,288.0,Pulses,Kharif,103.0,Hectare,56.0,Tonnes,0.544,Tonnes/Hectare
9922,9921,1997-1998,West Bengal,19,Bankura,305,Potato,701.0,Vegetable,Whole Year,270442.0,Hectare,513121.0,Tonnes,1.897,Tonnes/Hectare
9923,9922,1997-1998,West Bengal,19,Bankura,305,Rapeseed &Mustard,1004.0,Oilseeds,Whole Year,12312.0,Hectare,8060.0,Tonnes,0.655,Tonnes/Hectare
9924,9923,1997-1998,West Bengal,19,Bankura,305,Rice,101.0,Cereals,Autumn,38211.0,Hectare,88120.0,Tonnes,2.306,Tonnes/Hectare
9925,9924,1997-1998,West Bengal,19,Bankura,305,Rice,101.0,Cereals,Summer,44617.0,Hectare,135640.0,Tonnes,3.04,Tonnes/Hectare
9926,9925,1997-1998,West Bengal,19,Bankura,305,Rice,101.0,Cereals,Total,437275.0,Hectare,1197350.0,Tonnes,2.738,Tonnes/Hectare
9927,9926,1997-1998,West Bengal,19,Bankura,305,Rice,101.0,Cereals,Winter,354447.0,Hectare,973590.0,Tonnes,2.747,Tonnes/Hectare
9928,9927,1997-1998,West Bengal,19,Bankura,305,Safflower,1008.0,Oilseeds,Whole Year,200.0,Hectare,100.0,Tonnes,0.5,Tonnes/Hectare
9929,9928,1997-1998,West Bengal,19,Bankura,305,Sannhamp,1104.0,Fiber Crops,Whole Year,449.0,Hectare,1998.0,Tonnes,4.45,Tonnes/Hectare
9930,9929,1997-1998,West Bengal,19,Bankura,305,Sesamum,1003.0,Oilseeds,Whole Year,18319.0,Hectare,12493.0,Tonnes,0.682,Tonnes/Hectare
9931,9930,1997-1998,West Bengal,19,Bankura,305,Small Millets,108.0,Cereals,Whole Year,265.0,Hectare,104.0,Tonnes,0.392,Tonnes/Hectare
9932,9931,1997-1998,West Bengal,19,Bankura,305,Soyabean,1009.0,Oilseeds,Kharif,338.0,Hectare,168.0,Tonnes,0.497,Tonnes/Hectare
9933,9932,1997-1998,West Bengal,19,Bankura,305,Sugarcane,401.0,Sugar,Whole Year,468.0,Hectare,39520.0,Tonnes,84.444,Tonnes/Hectare
9934,9933,1997-1998,West Bengal,19,Bankura,305,Turmeric,504.0,Spices,Whole Year,175.0,Hectare,261.0,Tonnes,1.491,Tonnes/Hectare
9935,9934,1997-1998,West Bengal,19,Bankura,305,Urad,203.0,Pulses,Kharif,724.0,Hectare,430.0,Tonnes,0.594,Tonnes/Hectare
9936,9935,1997-1998,West Bengal,19,Bankura,305,Wheat,106.0,Cereals,Rabi,7167.0,Hectare,12200.0,Tonnes,1.702,Tonnes/Hectare
9937,9936,1997-1998,West Bengal,19,Birbhum,307,Arecanut,507.0,Spices,Whole Year,17.0,Hectare,22.0,Tonnes,1.294,Tonnes/Hectare
9938,9937,1997-1998,West Bengal,19,Birbhum,307,Arhar/Tur,202.0,Pulses,Whole Year,101.0,Hectare,50.0,Tonnes,0.495,Tonnes/Hectare
9939,9938,1997-1998,West Bengal,19,Birbhum,307,Bajra,103.0,Cereals,Kharif,30.0,Hectare,19.0,Tonnes,0.633,Tonnes/Hectare
9940,9939,1997-1998,West Bengal,19,Birbhum,307,Barley,107.0,Cereals,Whole Year,376.0,Hectare,370.0,Tonnes,0.984,Tonnes/Hectare
9941,9940,1997-1998,West Bengal,19,Birbhum,307,Coconut,1006.0,Oilseeds,Whole Year,296.0,Hectare,1480000.0,Tonnes,5000.0,Tonnes/Hectare
9942,9941,1997-1998,West Bengal,19,Birbhum,307,Dry Chillies,502.0,Spices,Whole Year,472.0,Hectare,790.0,Tonnes,1.674,Tonnes/Hectare
9943,9942,1997-1998,West Bengal,19,Birbhum,307,Gram,201.0,Pulses,Rabi,4204.0,Hectare,2490.0,Tonnes,0.592,Tonnes/Hectare
9944,9943,1997-1998,West Bengal,19,Birbhum,307,Groundnut,1001.0,Oilseeds,Whole Year,206.0,Hectare,57.0,Tonnes,0.277,Tonnes/Hectare
9945,9944,1997-1998,West Bengal,19,Birbhum,307,Horse-Gram,206.0,Pulses,Kharif,43.0,Hectare,22.0,Tonnes,0.512,Tonnes/Hectare
9946,9945,1997-1998,West Bengal,19,Birbhum,307,Jowar,102.0,Cereals,Whole Year,120.0,Hectare,78.0,Tonnes,0.65,Tonnes/Hectare
9947,9946,1997-1998,West Bengal,19,Birbhum,307,Jute,1102.0,Fiber Crops,Kharif,342.0,Hectare,6780.0,Tonnes,19.825,Tonnes/Hectare
9948,9947,1997-1998,West Bengal,19,Birbhum,307,Khesari,521.0,Spices,Rabi,2068.0,Hectare,2830.0,Tonnes,1.368,Tonnes/Hectare
9949,9948,1997-1998,West Bengal,19,Birbhum,307,Linseed,1005.0,Oilseeds,Whole Year,375.0,Hectare,50.0,Tonnes,0.133,Tonnes/Hectare
9950,9949,1997-1998,West Bengal,19,Birbhum,307,Maize,104.0,Cereals,Whole Year,44.0,Hectare,30.0,Tonnes,0.682,Tonnes/Hectare
9951,9950,1997-1998,West Bengal,19,Birbhum,307,Masoor,205.0,Pulses,Rabi,3810.0,Hectare,3870.0,Tonnes,1.016,Tonnes/Hectare
